"","Date","Amount","Description","Category","Budget"
"94","2020/03/18",-44.99,"Sprouts Farmers Mkt","Groceries","Basics"
"315","2019/12/18",-44.85,"Maverik","Gas","Basics"
"83","2020/03/23",-42.4,"Trader Joe's 350 Qps","Groceries","Basics"
"249","2020/01/27",-42.03,"Fresh Market 17Th South","Groceries","Basics"
"392","2019/11/27",-40.91,"Fast Gas 7 Spanish Fork Ut","Gas","Basics"
"466","2019/11/04",-40.53,"Speedway","Gas","Basics"
"525","2019/10/14",-40,"Hollow Mountain Sinclair","Gas","Basics"
"112","2020/03/09",-39.68,"Tdas Chedraui Playa C S","Groceries","Basics"
"20","2020/04/17",-39.39,"Smiths Food","Groceries","Basics"
"523","2019/10/14",-38.59,"Maverik","Gas","Basics"
"146","2020/02/28",-38.46,"Maverik Cntry Stre Moab Ut","Gas","Basics"
"306","2019/12/20",-37.69,"Smiths Food","Groceries","Basics"
"48","2020/04/02",-36.54,"Smiths Fuel","Gas","Basics"
"432","2019/11/14",-36.3,"City Market","Groceries","Basics"
"510","2019/10/24",-35.78,"Holiday","Gas","Basics"
"181","2020/02/13",-35.76,"Shinesty","Clothing","Basics"
"22","2020/04/17",-35.51,"Smiths Fuel","Gas","Basics"
"30","2020/04/10",-35.27,"Smiths Food","Groceries","Basics"
"150","2020/02/25",-35.25,"Stans","Gas","Basics"
"493","2019/10/30",-35.1,"Wal Mart","Groceries","Basics"
"511","2019/10/24",-35.07,"Smiths Mrktpl","Groceries","Basics"
"456","2019/11/07",-33.97,"Dan's Foods","Groceries","Basics"
"501","2019/10/28",-33.47,"Maverik 487 St George Ut","Gas","Basics"
"139","2020/02/28",-32.35,"Smiths Fuel","Gas","Basics"
"293","2019/12/25",-30.01,"Shell Service Station","Gas","Basics"
"545","2019/10/04",-29.86,"Trader Joe's 350 Qps","Groceries","Basics"
"426","2019/11/18",-29.6,"Service Center Fruita Co","Gas","Basics"
"54","2020/04/02",-29.13,"Smiths Food","Groceries","Basics"
"147","2020/02/27",-28.94,"Rekonect","Clothing","Basics"
"25","2020/04/13",-28.65,"Harmons Bangerter","Groceries","Basics"
"384","2019/11/29",-28.29,"Chevron 0301989 Draper Ut","Gas","Basics"
"549","2019/10/03",-27.92,"Wasatch Propane","Gas & Fuel","Basics"
"476","2019/11/01",-27.27,"The Store","Groceries","Basics"
"12","2020/04/21",-27.05,"Conoco Pnp Main Stree Nephi Ut","Gas","Basics"
"420","2019/11/19",-26.93,"Smiths Mrktpl","Groceries","Basics"
"237","2020/01/29",-26.72,"Wholefds Suh","Groceries","Basics"
"492","2019/10/31",-26.54,"Dan's Foods","Groceries","Basics"
"32","2020/04/10",-25.86,"The Front Climbing Gym","Memberships","Basics"
"160","2020/02/24",-25,"Venmo Payment","Cash","Basics"
"75","2020/03/26",-24.87,"Smiths Fuel","Gas","Basics"
"273","2020/01/06",-24.64,"Smiths Mrktpl","Groceries","Basics"
"304","2019/12/21",-24.28,"Wal Mart","Groceries","Basics"
"52","2020/04/02",-23.13,"Wholefds Suh","Groceries","Basics"
"149","2020/02/26",-22.78,"Chevron 0200176 Spanish Fork Ut","Gas","Basics"
"502","2019/10/28",-22.12,"Maverik Cntry Stre","Gas","Basics"
"93","2020/03/18",-22.06,"Smiths Food","Groceries","Basics"
"78","2020/03/26",-21.9,"Sprouts Farmers Mkt","Groceries","Basics"
"50","2020/04/02",-21.5,"Smiths Fuel","Gas","Basics"
"124","2020/03/03",-21.43,"Smiths Food","Groceries","Basics"
"2","2020/04/26",-20.48,"Smiths Food","Groceries","Basics"
"157","2020/02/24",-20,"Venmo Payment","Cash","Basics"
"91","2020/03/19",-19.52,"Sprouts Farmers Mkt","Groceries","Basics"
"448","2019/11/09",-19.38,"Dan's Foods","Groceries","Basics"
"218","2020/02/03",-18.96,"Harmons Orem","Groceries","Basics"
"378","2019/12/01",-18.92,"Fresh Market 17Th South","Groceries","Basics"
"15","2020/04/20",-17.92,"Conoco Pnp Main Stree Nephi Ut","Gas","Basics"
"353","2019/12/08",-17.23,"Smiths Mrktpl","Groceries","Basics"
"419","2019/11/19",-17,"Venmo Payment","Cash","Basics"
"309","2019/12/20",-16.8,"Wholefds Suh","Groceries","Basics"
"540","2019/10/06",-16.78,"Sprouts Farmers Mkt","Groceries","Basics"
"520","2019/10/15",-16.64,"Fresh Market 17Th South","Groceries","Basics"
"562","2019/10/02",-16.15,"Guthrie Bicycle","Bicycle","Basics"
"73","2020/03/28",-16.08,"Spotify","Online Services","Basics"
"243","2020/01/28",-16.08,"Spotify","Online Services","Basics"
"284","2019/12/28",-16.08,"Spotify","Online Services","Basics"
"386","2019/11/28",-16.08,"Spotify","Online Services","Basics"
"491","2019/10/31",-15.43,"Dan's Foods","Groceries","Basics"
"526","2019/10/11",-15.05,"Chevron 0212096 Sandy Ut","Gas","Basics"
"362","2019/12/06",-15,"Venmo Payment","Cash","Basics"
"405","2019/11/22",-15,"Salt Lake Sugarhouse Di","Clothing","Basics"
"44","2020/04/06",-14.91,"Slaugh's Sinclair Slc","Gas","Basics"
"404","2019/11/23",-14.69,"Wholefds Tsq","Groceries","Basics"
"468","2019/11/03",-14.39,"Smiths Food","Groceries","Basics"
"377","2019/12/01",-13.93,"Fresh Market 21St South","Groceries","Basics"
"499","2019/10/29",-13.81,"Dan's Foods","Groceries","Basics"
"5","2020/04/24",-13.23,"Smiths Food","Groceries","Basics"
"61","2020/03/31",-12.9,"Smiths Food","Groceries","Basics"
"248","2020/01/27",-12.41,"Wholefds Tsq","Groceries","Basics"
"207","2020/02/07",-12.4,"Chinatown Superm","Groceries","Basics"
"302","2019/12/23",-12,"Venmo Payment","Cash","Basics"
"70","2020/03/29",-11.29,"Love's Country Store","Gas","Basics"
"406","2019/11/22",-10.33,"Uptown Cheapskate Sugar","Clothing","Basics"
"122","2020/03/03",-10.28,"Channing Hall","Tuition & Fees","Basics"
"123","2020/03/03",-10.28,"Channing Hall","Tuition & Fees","Basics"
"138","2020/02/28",-10.28,"Channing Hall","Tuition & Fees","Basics"
"174","2020/02/17",-10.28,"Channing Hall","Tuition & Fees","Basics"
"184","2020/02/12",-10.28,"Channing Hall","Tuition & Fees","Basics"
"185","2020/02/12",-10.28,"Channing Hall","Tuition & Fees","Basics"
"194","2020/02/10",-10.28,"Channing Hall","Tuition & Fees","Basics"
"220","2020/02/03",-10.28,"Channing Hall","Tuition & Fees","Basics"
"221","2020/02/03",-10.28,"Channing Hall","Tuition & Fees","Basics"
"222","2020/02/03",-10.28,"Channing Hall","Tuition & Fees","Basics"
"350","2019/12/09",-10,"Venmo Payment","Cash","Basics"
"417","2019/11/19",-10,"Venmo Payment","Cash","Basics"
"469","2019/11/03",-9.99,"Apple.com Bill","Online Services","Basics"
"352","2019/12/09",-9.69,"Capital One Mobile Pmt","Cash","Basics"
"422","2019/11/18",-9.62,"Savers","Clothing","Basics"
"336","2019/12/12",-9.46,"Wholefds Suh","Groceries","Basics"
"200","2020/02/10",-8.22,"Smiths Food","Groceries","Basics"
"211","2020/02/05",-8,"Venmo Payment","Cash","Basics"
"461","2019/11/04",-6.86,"Wasatch Propane","Gas & Fuel","Basics"
"64","2020/03/30",-6.82,"Wasatch Propane","Gas & Fuel","Basics"
"204","2020/02/08",-6.78,"Smiths Food","Groceries","Basics"
"179","2020/02/13",-6.67,"Wasatch Propane","Gas & Fuel","Basics"
"42","2020/04/06",-6.53,"Italki Hk Limited","Tuition & Fees","Basics"
"553","2019/10/03",-6.36,"Smiths Food","Groceries","Basics"
"165","2020/02/23",-6.3,"Calltopark","Parking & Tolls","Basics"
"214","2020/02/04",-6.12,"Capital One Mobile Pmt","Cash","Basics"
"74","2020/03/26",-5.5,"Lin's Price","Groceries","Basics"
"340","2019/12/12",-5.14,"Wholefds Suh","Groceries","Basics"
"45","2020/04/05",-5.08,"Hollow Mountain Sinclair","Gas","Basics"
"216","2020/02/04",-5.03,"Speedway","Gas","Basics"
"210","2020/02/05",-5,"Venmo Payment","Cash","Basics"
"308","2019/12/20",-5,"Wasatch Propane","Gas & Fuel","Basics"
"326","2019/12/14",-5,"Moonbeam Lot","Parking & Tolls","Basics"
"407","2019/11/22",-5,"Venmo Payment","Cash","Basics"
"408","2019/11/22",-5,"Venmo Payment","Cash","Basics"
"409","2019/11/22",-5,"Venmo Payment","Cash","Basics"
"403","2019/11/23",-3.6,"Pay Stations Mobile","Parking & Tolls","Basics"
"148","2020/02/26",-3.56,"Maverik","Gas","Basics"
"554","2019/10/03",-3.45,"Salt Lake Sugarhouse Di","Clothing","Basics"
"449","2019/11/09",-3.33,"Top Stop C","Gas","Basics"
"437","2019/11/12",-3.08,"City Market","Groceries","Basics"
"518","2019/10/17",-2.77,"Harmons at Emigration","Groceries","Basics"
"496","2019/10/30",-2.7,"Pay Stations Mobile","Parking & Tolls","Basics"
"92","2020/03/18",-2.56,"Wholefds Suh","Groceries","Basics"
"532","2019/10/10",-2.5,"Uta Frontrunner TVM","Public Transit","Basics"
"359","2019/12/06",-2.25,"Pay Stations Mobile","Parking & Tolls","Basics"
"458","2019/11/05",-2.25,"Pay Stations Mobile","Parking & Tolls","Basics"
"285","2019/12/28",-2,"La City Parking Meter","Parking & Tolls","Basics"
"288","2019/12/28",-2,"Hermosa Beach Parking","Parking & Tolls","Basics"
"560","2019/10/02",-1.84,"Smiths Food","Groceries","Basics"
"411","2019/11/21",-1.83,"Dan's Foods","Groceries","Basics"
"18","2020/04/17",-1.5,"Vend at Air Serv","Gas","Basics"
"19","2020/04/17",-1.5,"Vend at Air Serv","Gas","Basics"
"533","2019/10/10",-1.48,"Wal Mart","Groceries","Basics"
"53","2020/04/02",-1.23,"Smiths Food","Groceries","Basics"
"1","2020/04/26",-1.03,"Smiths Food","Groceries","Basics"
"111","2020/03/09",-0.4,"Tdas Chedraui Playa C S","Groceries","Basics"
"41","2020/04/06",-0.07,"Italki Hk Limited","Tuition & Fees","Basics"
"440","2019/11/11",18.08,"3215 S Valley St","Cash","Basics"
"337","2019/12/12",107.74,"1169 Wilmington Av","Cash","Basics"
"443","2019/11/11",133.05,"Venmo Hess Sean","Cash","Basics"
"190","2020/02/11",-905.45,"Jt Automotive","Auto Services","Car"
"374","2019/12/02",-269.8,"Jt Automotive","Auto Services","Car"
"298","2019/12/24",-157.09,"Napa of Mammoth","Auto Supplies","Car"
"328","2019/12/14",-107.74,"O'reilly Auto Parts","Auto Supplies","Car"
"342","2019/12/12",-83,"Slc Permits Tickets 801 535 6095 Ut","Parking Tickets","Car"
"282","2019/12/28",-70,"City of la Dot Pvb Pbph","Parking Tickets","Car"
"509","2019/10/24",-64.5,"Jt Automotive","Auto Services","Car"
"464","2019/11/04",-37.69,"O'reilly Auto Parts","Auto Supplies","Car"
"399","2019/11/24",-21.54,"O'reilly Auto Parts","Auto Supplies","Car"
"297","2019/12/25",107.74,"O'reilly Auto Parts","Auto Supplies","Car"
"555","2019/10/03",-63.53,"State Liquor Store","Alcohol & Bars","Fun"
"354","2019/12/08",-50,"Slc Eatery","Restaurants","Fun"
"388","2019/11/27",-45.23,"State Liquor Store","Alcohol & Bars","Fun"
"322","2019/12/16",-40,"Powder Mountain Server","Other Sports & Fitness","Fun"
"208","2020/02/06",-39.85,"State Liquor Store","Alcohol & Bars","Fun"
"145","2020/02/28",-39.63,"Purgatory Bar","Restaurants","Fun"
"290","2019/12/26",-38.79,"El Ranchito","Restaurants","Fun"
"402","2019/11/23",-37.04,"Post Office","Alcohol & Bars","Fun"
"414","2019/11/19",-29,"Superprof Student Pa","Business Services","Fun"
"81","2020/03/25",-28.26,"Spitz Bro","Restaurants","Fun"
"505","2019/10/27",-28.11,"Lees Discount Liquor","Alcohol & Bars","Fun"
"450","2019/11/09",-28.01,"Chedda Burg","Restaurants","Fun"
"457","2019/11/07",-28,"State Liquor Store","Alcohol & Bars","Fun"
"368","2019/12/04",-27.92,"The Copper","Restaurants","Fun"
"485","2019/11/01",-27.14,"Cafe Zupas Sugarhous","Restaurants","Fun"
"67","2020/03/30",-26.78,"Arbys 1445 Span","Fast Food","Fun"
"286","2019/12/28",-26.5,"Tsujita la Artisan Nood","Fast Food","Fun"
"209","2020/02/06",-26,"The Old Yellowstone Ga","Restaurants","Fun"
"341","2019/12/12",-25.84,"State Liquor Store","Alcohol & Bars","Fun"
"10","2020/04/22",-25.45,"Sawadee Thai","Restaurants","Fun"
"531","2019/10/10",-25.01,"Zaater and Zayton","Other Food & Drink","Fun"
"129","2020/03/02",-24.9,"Spitz Cot","Restaurants","Fun"
"349","2019/12/09",-23.15,"One More Noodle House","Restaurants","Fun"
"35","2020/04/09",-22.61,"State Liquor Store","Alcohol & Bars","Fun"
"164","2020/02/23",-21.86,"The Green Pig Pub","Restaurants","Fun"
"534","2019/10/10",-21.64,"The Kathmandu","Restaurants","Fun"
"7","2020/04/24",-21.54,"State Liquor Store","Alcohol & Bars","Fun"
"182","2020/02/13",-21,"Hog Wallow Pub","Restaurants","Fun"
"324","2019/12/16",-21,"Templin Family Brewing","Alcohol & Bars","Fun"
"295","2019/12/25",-20.71,"Black Doubt Brewing Com","Alcohol & Bars","Fun"
"373","2019/12/03",-20.63,"Rumsy's","Fast Food","Fun"
"564","2019/10/01",-20.39,"Zao Asian Cafe Salt L","Restaurants","Fun"
"3","2020/04/26",-20.35,"Wendys","Fast Food","Fun"
"168","2020/02/21",-20.04,"Oh Mai Downtown","Restaurants","Fun"
"345","2019/12/10",-20,"Powder Mountain Server","Other Sports & Fitness","Fun"
"369","2019/12/04",-19.4,"Copper Comm","Restaurants","Fun"
"299","2019/12/24",-19.36,"Hometown Pizza","Fast Food","Fun"
"46","2020/04/03",-19.27,"Chevron 0207391 Price Ut","Other Sports & Fitness","Fun"
"360","2019/12/06",-19.25,"Publik Kitchen","Restaurants","Fun"
"446","2019/11/10",-19.25,"Willie's Lounge","Alcohol & Bars","Fun"
"169","2020/02/18",-19,"Lehi City Recreation","Other Sports & Fitness","Fun"
"77","2020/03/26",-18.82,"Wendys","Fast Food","Fun"
"459","2019/11/05",-18.77,"The Green Pig Pub","Restaurants","Fun"
"294","2019/12/25",-17.97,"Thai D Up","Restaurants","Fun"
"460","2019/11/05",-17.94,"Barrio","Restaurants","Fun"
"380","2019/11/30",-17.8,"Carl's Jr","Fast Food","Fun"
"424","2019/11/18",-17.66,"Thai Garden Bistro","Restaurants","Fun"
"117","2020/03/04",-15.95,"Market Street Gril Slc","Restaurants","Fun"
"71","2020/03/28",-15,"Utahstateparks","Other Sports & Fitness","Fun"
"506","2019/10/25",-14.27,"La Cocina","Restaurants","Fun"
"215","2020/02/04",-14.24,"Level Cross","Restaurants","Fun"
"498","2019/10/29",-14.14,"Pizza Nono","Restaurants","Fun"
"372","2019/12/03",-14,"Templin Family Brewing","Alcohol & Bars","Fun"
"356","2019/12/08",-13.77,"Wendys","Fast Food","Fun"
"167","2020/02/22",-13.63,"Toshs Ramen","Restaurants","Fun"
"135","2020/02/29",-12.99,"Brighton Ski Resort","Restaurants","Fun"
"430","2019/11/16",-12.98,"Fruita Liquor Mart","Alcohol & Bars","Fun"
"470","2019/11/03",-12.88,"Water Witch","Restaurants","Fun"
"272","2020/01/07",-12.75,"Cafe Rio Slc Airport","Restaurants","Fun"
"197","2020/02/10",-12.28,"Cafe Rio Sandy","Restaurants","Fun"
"144","2020/02/28",-12,"Proper Brewing","Restaurants","Fun"
"89","2020/03/21",-11.95,"Cubbys Sugar House","Fast Food","Fun"
"433","2019/11/14",-11.88,"Moab Diner","Restaurants","Fun"
"524","2019/10/14",-11.85,"Chat Chat Poke Bowl Ll","Fast Food","Fun"
"51","2020/04/02",-11.84,"Cafe Rio Sugarhouse","Restaurants","Fun"
"512","2019/10/23",-11.6,"Rumsys","Restaurants","Fun"
"395","2019/11/24",-11.56,"Arbys 942 West","Fast Food","Fun"
"127","2020/03/03",-11.38,"Indochine Vietnamese","Restaurants","Fun"
"229","2020/02/01",-11.14,"Chubbys Cafe","Restaurants","Fun"
"344","2019/12/10",-11,"Powder Keg Bar","Alcohol & Bars","Fun"
"410","2019/11/21",-10.76,"Eclair French Pastry","Other Food & Drink","Fun"
"515","2019/10/22",-10.36,"Pie Hole","Restaurants","Fun"
"136","2020/02/29",-10.29,"Brighton Ski Resort","Restaurants","Fun"
"120","2020/03/04",-10.16,"Cafe Rio Skyline","Restaurants","Fun"
"471","2019/11/02",-9.84,"Cafe Rio Sandy","Restaurants","Fun"
"40","2020/04/06",-9.79,"The Park Cafe","Restaurants","Fun"
"343","2019/12/11",-9.68,"Oh Mai Downtown","Restaurants","Fun"
"316","2019/12/18",-9.63,"Canyon Fever At","Restaurants","Fun"
"193","2020/02/11",-9,"The Green Pig Pub","Restaurants","Fun"
"321","2019/12/16",-9,"Powder Keg Bar","Alcohol & Bars","Fun"
"153","2020/02/24",-8.93,"Slab Pizza","Fast Food","Fun"
"65","2020/03/30",-8.65,"Mcdonald's","Fast Food","Fun"
"452","2019/11/08",-8.36,"The Bagel Project","Other Food & Drink","Fun"
"188","2020/02/12",-8.09,"Bewilder Brewing","Restaurants","Fun"
"11","2020/04/21",-8,"Normal Ice Cream","Other Food & Drink","Fun"
"236","2020/01/29",-7.75,"The Bagel Project","Other Food & Drink","Fun"
"390","2019/11/27",-7.74,"Arbys 1484 Pric","Fast Food","Fun"
"287","2019/12/28",-7.67,"Beard Papas","Other Food & Drink","Fun"
"438","2019/11/11",-7.65,"Paco S Tacos","Restaurants","Fun"
"191","2020/02/11",-7.57,"Pot Stickers Plus","Restaurants","Fun"
"541","2019/10/06",-7.54,"Lagoon","Fast Food","Fun"
"126","2020/03/03",-7.53,"The Green Pig Pub","Restaurants","Fun"
"416","2019/11/19",-7.52,"Rumsy's","Fast Food","Fun"
"429","2019/11/18",-6.99,"Arbys 1484 Pric","Fast Food","Fun"
"527","2019/10/11",-6.68,"Paco S Tacos","Restaurants","Fun"
"17","2020/04/18",-6.44,"Little Caesars","Fast Food","Fun"
"234","2020/01/30",-5.5,"City Limits","Alcohol & Bars","Fun"
"379","2019/12/01",-5.44,"Little Caesars","Fast Food","Fun"
"28","2020/04/12",-5,"Normal Ice Cream","Other Food & Drink","Fun"
"79","2020/03/25",-4.32,"Dunkin 352088 Q35","Fast Food","Fun"
"280","2019/12/29",-4.08,"Mcdonald's","Fast Food","Fun"
"516","2019/10/21",-3.75,"Chipotle","Fast Food","Fun"
"291","2019/12/25",-3.27,"Carls Jr","Fast Food","Fun"
"547","2019/10/04",-3.26,"Rumsy's","Fast Food","Fun"
"548","2019/10/04",-3.26,"Rumsy's","Fast Food","Fun"
"166","2020/02/22",-3,"Alta Ski Area Alfs","Fast Food","Fun"
"310","2019/12/20",-2.99,"Barnesnoble","Fast Food","Fun"
"320","2019/12/17",-2.91,"Dunkin 352088 Q35","Fast Food","Fun"
"21","2020/04/17",-1.6,"Certus Ace Vending","Fast Food","Fun"
"415","2019/11/19",-0.29,"Superprof Student Pa","Business Services","Fun"
"305","2019/12/21",9.63,"Canyon Fever at Moonbea","Restaurants","Fun"
"238","2020/01/28",-281.9,"Ldvision","Eyes","Health"
"413","2019/11/20",-188.57,"Warby Parker","Eyes","Health"
"31","2020/04/10",-120,"Rev Physical Thera","Other Health & Medical","Health"
"96","2020/03/17",-120,"Rev Physical Thera","Other Health & Medical","Health"
"141","2020/02/28",-120,"Rev Physical Thera","Other Health & Medical","Health"
"170","2020/02/18",-120,"Rev Physical Thera","Other Health & Medical","Health"
"178","2020/02/13",-120,"Rev Physical Thera","Other Health & Medical","Health"
"205","2020/02/07",-120,"Rev Physical Thera","Other Health & Medical","Health"
"241","2020/01/28",-120,"Rev Physical Therap","Other Health & Medical","Health"
"453","2019/11/08",-120,"Rev Physical Therap","Other Health & Medical","Health"
"478","2019/11/01",-120,"Rev Physical Therap","Other Health & Medical","Health"
"465","2019/11/04",-82.95,"Intermountain Healthcar","Other Health & Medical","Health"
"451","2019/11/08",-53.23,"Walgreens Store","Pharmacies","Health"
"561","2019/10/02",-53,"Walgreens Store","Pharmacies","Health"
"219","2020/02/03",-49,"Canyon Gate Massage","Other Health & Medical","Health"
"232","2020/01/30",-41.4,"Return to Harmony M","Other Health & Medical","Health"
"444","2019/11/10",-26.3,"Tinker's Cat Cafe","Other Health & Medical","Health"
"23","2020/04/17",-17.23,"Walgreens Store","Pharmacies","Health"
"355","2019/12/08",-12.92,"Walgreens Store","Pharmacies","Health"
"503","2019/10/28",-4.4,"Walgreens Store","Pharmacies","Health"
"375","2019/12/02",-386.5,"Airbnb Hmaqq42Exq","Hotels","Home"
"29","2020/04/11",-327.32,"Airbnb Hm3Bzsc5Bc","Hotels","Home"
"330","2019/12/13",-310.47,"Airbnb Hmrned2Mr9","Hotels","Home"
"314","2019/12/18",-280.97,"Ikea Draper","Furnishings","Home"
"385","2019/11/28",-153.71,"Airbnb Hmaeswrd8E","Hotels","Home"
"339","2019/12/12",-151.37,"Bedbath&Beyond","Furnishings","Home"
"495","2019/10/30",-135.68,"The Home Depot","Repairs & Improvement","Home"
